Open,Close,High,Low,Volume,Date
118.86,122.81,122.87,118.58,1,153,969.00,07/05/22
117.59,120.17,120.34,117.06,815,702.00,07/01/22
117.01,117.63,118.99,115.96,841,729.00,06/30/22
117.02,117.99,118.7,116.2,459,721.00,06/29/22
119.98,117.36,120.42,116.87,489,020.00,06/28/22
120.28,120.12,120.5,118.58,689,346.00,06/27/22
119.19,120.04,120.1,117.36,888,515.00,06/24/22
114.15,118.01,118.3,113.89,660,759.00,06/23/22
110.3,113.25,114.8,110.3,921,879.00,06/22/22
111.19,111.87,112.79,111.19,606,032.00,06/21/22
106.32,109.56,110.98,106.32,1,688,006.00,06/17/22
106.16,105.82,106.59,104.31,1,022,310.00,06/16/22
107.46,108.66,109.76,106.25,1,043,927.00,06/15/22
106.4,106.23,106.72,104.67,921,158.00,06/14/22
107.61,105.97,108.2,105.38,1,314,267.00,06/13/22
112.07,110.48,112.24,109.73,752,816.00,06/10/22
117.69,113.98,117.69,113.9,662,080.00,06/09/22
117.68,118.13,119.67,117.35,516,705.00,06/08/22
114.41,117.83,117.98,114.41,515,570.00,06/07/22
117.31,115.24,117.76,114.59,534,946.00,06/06/22
115.79,116.5,117.57,115.34,630,157.00,06/03/22
115.14,116.36,116.36,113.13,614,554.00,06/02/22
117.66,115.44,118.22,114.03,648,719.00,06/01/22
118.82,116.67,118.97,115.6,970,079.00,05/31/22
116.09,119.5,119.5,115.37,636,324.00,05/27/22
115.15,115.8,116.32,114.76,681,754.00,05/26/22
114.12,114.77,115.36,113.1,729,785.00,05/25/22
115.48,114.58,115.9,113.51,858,062.00,05/24/22
116.82,116.44,117.03,115.65,959,143.00,05/23/22
116.23,115.61,116.39,112.61,784,456.00,05/20/22
113.4,115.03,115.97,113.15,927,619.00,05/19/22
115.19,113.56,115.96,112.95,798,488.00,05/18/22
115,116.52,116.68,114.27,821,310.00,05/17/22
112.91,113.29,114.64,112.11,1,112,911.00,05/16/22
110.84,113.14,113.78,110.84,1,132,259.00,05/13/22
105.46,109.45,109.72,105.39,1,837,663.00,05/12/22
108.89,106.46,110.89,106.14,1,831,424.00,05/11/22
110.09,110.14,111.74,108.25,2,387,564.00,05/10/22
111.48,107.28,112.09,106.84,1,608,025.00,05/09/22
115.77,113.17,115.91,112.35,2,109,035.00,05/06/22
120.97,117.36,120.97,115.94,1,502,562.00,05/05/22
120.09,121.86,122.28,116.68,1,425,833.00,05/04/22
118.74,119.44,120.26,118.16,892,775.00,05/03/22
116.2,118.36,118.55,115.35,1,458,834.00,05/02/22
119.07,116.65,121.57,116.5,1,234,503.00,04/29/22
119.44,119.05,119.76,115.48,1,472,652.00,04/28/22
119.63,119.05,121.07,118.67,1,357,544.00,04/27/22
123.42,119.39,123.82,119.37,796,215.00,04/26/22
122.23,124.18,124.31,121.48,1,205,792.00,04/25/22
125.66,123.04,126.25,122.87,1,097,282.00,04/22/22
129.76,125.96,130.32,125.82,761,926.00,04/21/22
129.05,129,129.99,127.33,836,388.00,04/20/22
127.05,128.32,128.89,126.58,815,232.00,04/19/22
130.51,127.1,130.75,126.43,936,527.00,04/18/22
132.16,130.86,132.69,130.73,860,436.00,04/14/22
129.27,132.5,132.93,129.27,862,915.00,04/13/22
131.01,129.27,131.83,128.28,1,285,472.00,04/12/22
132.46,130.27,132.96,130.1,893,823.00,04/11/22
133.4,133.34,135.02,132.98,880,289.00,04/08/22
132.33,133.91,134.5,132.25,919,983.00,04/07/22
131.46,132.48,133.29,130.61,1,209,669.00,04/06/22
134.48,132.68,135.57,132.42,940,217.00,04/05/22
133.78,134.76,135,133.44,968,962.00,04/04/22
130.89,133.06,133.26,130.55,948,857.00,04/01/22
131.45,130.3,132.1,130.22,908,781.00,03/31/22
132.98,130.97,133.64,130.52,902,849.00,03/30/22
130.47,132.71,132.96,130.28,1,063,331.00,03/29/22
128.09,129.07,129.74,126.76,712,904.00,03/28/22
130.24,128.16,130.24,127.19,1,031,343.00,03/25/22
128.93,130.03,130.06,127.68,541,623.00,03/24/22
131.01,128.37,131.13,128.25,859,048.00,03/23/22
129.47,131.69,132.11,128.92,887,321.00,03/22/22
130.72,129.23,131.22,128.49,893,557.00,03/21/22
